unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-80-sport,sport,noun,ispoortii,fooyituu | korboo | ispoortii aadaa | ispoortii ammayyaa,/ɪspoːrtíː/,no,high,sport,,,
unit-80-sport,ball,noun,kubbaa,kuphaa | callee | buurana | bokkuu,/ˈkʊbːɑ́ː/,no,medium,ball,,,
unit-80-sport,player,noun,taphataa,taphattuu | taphataa | kashakkashtuu,/ˈtɐpʼɐtɑ́ː/,no,medium,player (male),,,
unit-80-sport,match,noun,ichimee,morkii | firoomsuu,/ɪt͡ʃɪméː/,no,medium,match,,,
unit-80-sport,runner,noun,ceetuu,kaattuu | ardaa,/ˈt͡ʃʼeːtúː/,yes,medium,runner( fem.),,,
unit-80-sport,running,noun,fiigicha,kaachoo | dannaba | saardoo | goosuu',/ˈfiːɡɪt͡ʃɐ/,yes,medium,running,,,
unit-80-sport,jumping,noun,utaalchoo,firixa | utaala,/ʊtɑːlt͡ʃóː/,no,high,jumping,,,
unit-80-sport,swimming,noun,daakkaa,gurdummii | haphala | koonnee | haroo daakkii,/ˈdɑːkːɑ́ː/,yes,high,swimming,,,
unit-80-sport,wrestling,noun,casoo,qabsoo | cabsoo | garagalfachuu,/ˈt͡ʃʼɐsóː/,yes,high,wrestling,,,
unit-80-sport,boxing,noun,bunyaa,,/ˈbʊɲɑ́ː/,yes,high,boxing,,,
unit-80-sport,tennis,noun,teenisii,,/ˈteːnɪsíː/,no,high,tennis,,,
unit-80-sport,hockey,noun,qillee,gabbaa | mukoo | qeellee | jirma,/ˈkʼɪlːéː/,no,high,hockey,,,
unit-80-sport,gymnastics,noun,kiriphoo,,/ˈkɪrɪpʼóː/,no,high,gymnastics,,,
unit-80-sport,skating,noun,sigigaachoo,sigigoo,/ˈsɪɡɪɡɑːt͡ʃóː/,no,medium,skating,,,
unit-80-sport,whistle,noun,furiyyoo,fooricuu | siiksuu | siissuu,/ˈfʊrɪjːóː/,yes,high,whistle,,,
unit-80-sport,training,noun,leejjii,leenjii | leenjisa,/ˈleːd͡ʒːíː/,no,medium,training,,,
unit-80-sport,winner,noun,mo'aa,moyaa,/ˈmɔʔɑ́ː/,no,medium,winner,,,
unit-80-sport,prize,noun,badhaasa,badhaasuu | badhaasa noobilii,/ˈbɐᶑɑːsɐ/,yes,high,"award / prize, reward",,,
unit-80-sport,medal,noun,lishaanii,madaaliyaa | madaaliyaa meetii,/ˈlɪʃɑːníː/,no,medium,medal,,,
unit-80-sport,doll,noun,hargoggee,horgoggee,/ˈhɐrɡɔɡːéː/,no,medium,doll,,,
unit-80-sport,puzzle,noun,hiibboo,hiibbakka | gidirsiisuu,/ˈhiːbːóː/,no,high,riddle/puzzle,,,
unit-80-sport,volleyball,noun,kubbaa saaphanaa,,/ˈkʊbːɑː sɑːpʼɐnɑ́ː/,no,high,volleyball,,,
unit-80-sport,basketball,noun,kuphaa kaachoo,,,no,high,basketball,,,
unit-80-sport,marathon,noun,maaraatoona,,/ˈmɑːrɑːtoːnɐ/,no,high,marathon,,,
