unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-100-ideas,idea,noun,yaada,cibra | bulfachuu | handhuura yaadaa,/ˈjɑːdɐ/,no,high,"thought, thinking, idea",,,
unit-100-ideas,reason,noun,qabata,sababuu | sabsbamuu | sababa dhiheessuu,/ˈkʼɐbɐtɐ/,no,high,stick,,,
unit-100-ideas,cause,noun,daafii,qabata | bilcheessisuu | bixxilchiisuu | dagachiisuu,/ˈdɑːfíː/,yes,high,cause,,,
unit-100-ideas,result,noun,maarka,naatigaa | natijaa | aangubaa | diddaa,/ˈmɑːrkɐ/,no,medium,result,,,
unit-100-ideas,solution,noun,furmaata,hiikkaa | hiika | furaa | faloo,/ˈfʊrmɑːtɐ/,yes,medium,solution,,,
unit-100-ideas,choice,noun,fohannaa,,/ˈfɔhɐnːɑ́ː/,yes,high,choice,,,
unit-100-ideas,decision,noun,murtii,muraamurtii | itti cabsa | itti kutuu,,no,high,"decision, judgement",,,
unit-100-ideas,chance,noun,hibaabsa,dunyitii | tafaa'ula | harka bu'uu,/ˈhɪbɑːbsɐ/,no,medium,chance,,,
unit-100-ideas,risk,noun,gaaga'aa,,/ˈɡɑːɡɐʔɑ́ː/,no,high,"risk, venturous",,,
unit-100-ideas,difficulty,noun,qawoo,rakkina | dhibdee | rakkachuu,/ˈkʼɐwóː/,no,medium,difficulty,,,
unit-100-ideas,progress,noun,hiqaa,hiiqa | tarkaanfachiisuu,/ˈhɪkʼɑ́ː/,no,high,"progress, success",,,
unit-100-ideas,development,noun,dagaagina,misooma | cidhaanuu,/ˈdɐɡɑːɡɪnɐ/,yes,medium,development,,,
unit-100-ideas,growth,noun,margaa,guddina | oldheerachuu | condorroo,/ˈmɐrɡɑ́ː/,no,medium,germinate,,,
unit-100-ideas,beginning,noun,calqabbii,jalqabbii | wiixinee | awwala | wixibiroo,/ˈt͡ʃʼɐlkʼɐbːíː/,yes,medium,the beginning,,,
unit-100-ideas,order,noun,ajaja,abboommii | abboomsa | eemara | abboomuu,/ɐd͡ʒɐd͡ʒɐ/,yes,medium,"command, order",,,
unit-100-ideas,phenomenon,noun,argamaata,cibra | tahinsa,/ɐrɡɐmɑːtɐ/,yes,medium,phenomenon,,,
unit-100-ideas,philosophy,noun,raagoo,falaasama,/ˈrɑːɡóː/,no,high,foretell,,,
unit-100-ideas,concept,noun,hiddayaada,yaadrimee,/ˈhɪdːɐjɑːdɐ/,no,medium,concept,,,
unit-100-ideas,criteria,noun,ulaagaa,,/ʊlɑːɡɑ́ː/,no,high,criteria,,,
unit-100-ideas,context,noun,haallee,,/ˈhɑːlːéː/,no,high,context,,,
unit-100-ideas,contradiction,noun,waldhaba,,/ˈwɐlᶑɐbɐ/,no,high,contradiction,,,
unit-100-ideas,distinction,noun,garaagarummaa,,/ˈɡɐrɑːɡɐrʊmːɑ́ː/,no,high,"difference, distinction",,,
unit-100-ideas,priority,noun,duraanaa,dursa,/ˈdʊrɑːnɑ́ː/,yes,medium,priority,,,
unit-100-ideas,objective,noun,kaayyoo,,/ˈkɑːjːóː/,no,high,"aim, objective",,,
unit-100-ideas,obligation,noun,dirqam,dirqii,/ˈdɪrkʼɐm/,yes,medium,obligation,,,
