unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-56-feelings-happy,happiness,noun,jija,qannoo,,no,medium,happiness,,,
unit-56-feelings-happy,pleasure,noun,qannoo,basaquu,/ˈkʼɐnːóː/,no,high,luxury,,,
unit-56-feelings-happy,delight,noun,bohaarsuu,,/ˈbɔhɑːrsúː/,yes,high,to entertain,,,
unit-56-feelings-happy,laughter,noun,kolfa,basaquu,,no,high,laughter,,,
unit-56-feelings-happy,comfort,noun,makkoo,qananii | badhaadha,/ˈmɐkːóː/,no,medium,comfort,,,
unit-56-feelings-happy,friendship,noun,michoomummaa,firummaa,/ˈmɪt͡ʃoːmʊmːɑ́ː/,no,medium,friendship,,,
unit-56-feelings-happy,sorrow,noun,addeenna,addeenya | gadda | garaa booressuu,/ɐdːeːnːɐ/,yes,medium,whiteness,,,
unit-56-feelings-happy,grief,noun,boossiftuu,,/ˈboːsːɪftúː/,yes,high,professional mourner something that causes to weep/ grief (fem),,,
unit-56-feelings-happy,loneliness,noun,ko'ummaa,kophumma,/ˈkɔʔʊmːɑ́ː/,no,medium,loneliness,,,
unit-56-feelings-happy,misery,noun,abasaa,gidiraa | darara | fitnaa | dhiphuu,/ɐbɐsɑ́ː/,yes,medium,misery,,,
unit-56-feelings-happy,disappointment,noun,mufata,mufannaa,/ˈmʊfɐtɐ/,no,medium,disappointment,,,
unit-56-feelings-happy,regret,noun,gaabbii,seenaa | gaabbuu | sheena'uu | gaabbisiisuu,/ˈɡɑːbːíː/,no,medium,regret,,,
unit-56-feelings-happy,longing,noun,halcaa,dharraa | yaaddoo | yaadamuu,/ˈhɐlt͡ʃʼɑ́ː/,no,high,longing,,,
unit-56-feelings-happy,mood,noun,inaajii,ookkoo | dallansisuu | jinaa'uu,/ɪnɑːd͡ʒíː/,no,high,"mood, style",,,
unit-56-feelings-happy,feeling,noun,anniisaa,obobsa | sabboonaa | sabboontuu | sinsinnii,/ɐnːiːsɑ́ː/,yes,high,see 'dhuka',,,
unit-56-feelings-happy,emotion,noun,miirbu'uuree,miira | bakfachuu | hamilee cabsuu,/ˈmiːrbʊʔuːréː/,no,medium,emotion,,,
unit-56-feelings-happy,relief,noun,obbaafata,furaa | furamuu | hooquu,/ɔbːɑːfɐtɐ/,no,high,relief,,,
unit-56-feelings-happy,hopeful,noun,abdataa,,/ɐbdɐtɑ́ː/,yes,high,hopeful,,,
unit-56-feelings-happy,closeness,noun,dhiyeenya,,/ˈᶑɪjeːɲɐ/,yes,high,"nearness, closeness",,,
unit-56-feelings-happy,fun,noun,kolacha,bashannanuu | ga'isa | ga'isuu,/ˈkɔlɐt͡ʃɐ/,no,high,fun,,,
unit-56-feelings-happy,amazement,noun,maalaloo,,/ˈmɑːlɐlóː/,no,high,"admiration, amazement",,,
unit-56-feelings-happy,affectionate,noun,mararsisaa,,/ˈmɐrɐrsɪsɑ́ː/,no,high,affectionate(male),,,
unit-56-feelings-happy,goodness,noun,gaarumina,gaarummaa,/ˈɡɑːrʊmɪnɐ/,no,medium,goodness,,,
