unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-39-describing-more,slim,adj,kuyyisa,,/ˈkʊjːɪsɐ/,no,high,"thin, slim",,,
unit-39-describing-more,brave,adj,goota,dhiirti | doora | gichillaa' | dhiiromuu,,no,high,brave,,,
unit-39-describing-more,shy,adj,saalfachuu,yeella'uu | qola laafessa | qaaneffachuu | saalfannaa,/ˈsɑːlfɐt͡ʃúː/,no,medium,"to be ashamed, shy",,,
unit-39-describing-more,clever,adj,kushee,goolee | hilluu | haxxee,/ˈkʊʃéː/,no,medium,clever,,,
unit-39-describing-more,lazy,adj,masluufa,boosa | dhibaawuu | daagi | ceemma'uu,/ˈmɐsluːfɐ/,no,high,lazy,,,
unit-39-describing-more,cruel,adj,ibisa,garaa jabaachuu,/ɪbɪsɐ/,no,high,"devil, cruel",,,
unit-39-describing-more,proud,adj,baajiguu,boontuu | caaquu | xennequu | bajiga,/ˈbɑːd͡ʒɪɡúː/,yes,medium,to proud,,,
unit-39-describing-more,handsome,adj,leensaa,bareeda | abbaa simboo | bifa baduu | lookoo,/ˈleːnsɑ́ː/,no,medium,"handsome, fine appearance (male)",,,
unit-39-describing-more,tender,adj,bosoqqee,caalbasii | lallaafuu | busuqqee,/ˈbɔsɔkʼːéː/,yes,medium,"tender, i.e., not tough",,,
unit-39-describing-more,delicious,adj,mi'aawaa,,,no,high,sweet,,,
unit-39-describing-more,eager,adj,haafoftuu,hafa'uu | bololuu | roora'uu | kaajessuu,/ˈhɑːfɔftúː/,no,medium,eager/anxious for something (fem),,,
unit-39-describing-more,foolish,adj,raatuu,jiidhuu | harsama | xebexxebduu | xebexxebuu,/ˈrɑːtúː/,no,high,"confused, foolish",,,
unit-39-describing-more,evil,adj,daabiloos,badaa | farrisaa | cagginaa'uu | farrisiisuu,/ˈdɑːbɪloːs/,yes,medium,evil,,,
unit-39-describing-more,visible,adj,muldhataa,muldhataa | zoodiyaak,/ˈmʊlᶑɐtɑ́ː/,no,high,"visible, tangible",,,
unit-39-describing-more,alive,adj,jiraataa,jiraa | dibamuu | jiraachisuu | jira,/ˈd͡ʒɪrɑːtɑ́ː/,no,medium,resident; inhabiting (male),,,
unit-39-describing-more,lean,adj,goggogaa,burundoo | maagoftuu | collagsiisuu | erkachuu,/ˈɡɔɡːɔɡɑ́ː/,no,medium,"dried, thin, lean, masculine",,,
unit-39-describing-more,younger,adj,maandhaa,obboo | abbaa xiqqaa | ayyaa xiqqoo | abbaa simboo,/ˈmɑːnᶑɑ́ː/,no,high,younger,,,
