unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-55-clinic,midwife,noun,ogeettii,,/ɔɡeːtːíː/,no,high,"midwife, skilled (of fem)",,,
unit-55-clinic,physician,noun,cireessa,haakimii | hakimii | hakiimii | haadha qorichaa,/ˈt͡ʃʼɪreːsːɐ/,yes,high,physician,,,
unit-55-clinic,patient,noun,waldhaanamaa,dhibamtuu | dabarfachuu | danda'uu | yaalchisuu,/ˈwɐlᶑɑːnɐmɑ́ː/,no,high,patient,,,
unit-55-clinic,clinic,noun,kilinika,mana hakiimii,/ˈkɪlɪnɪkɐ/,no,high,clinic,,,
unit-55-clinic,pharmacy,noun,mangorichaa,mana qorichaa,/ˈmɐnɡɔrɪt͡ʃɑ́ː/,no,high,pharmacy,,,
unit-55-clinic,laboratory,noun,laaboraatorii,,/ˈlɑːbɔrɑːtɔríː/,no,high,laboratory,,,
unit-55-clinic,accident,noun,balaa,,/ˈbɐlɑ́ː/,yes,high,accident,,,
unit-55-clinic,safety,noun,nageenya,nageenyabiyyoolessaa | ooguu,/ˈnɐɡeːɲɐ/,no,high,"safety, well being",,,
unit-55-clinic,helmet,noun,mateela,,/ˈmɐteːlɐ/,no,high,helmet,,,
unit-55-clinic,warning,noun,akeekkachiisa,dinnina | dinninuu | beekkachiisa | beekkachiisuu,/ɐkeːkːɐt͡ʃiːsɐ/,yes,medium,warning,,,
unit-55-clinic,inspection,noun,soqiisa,,/ˈsɔkʼiːsɐ/,no,high,"searching, inspection",,,
unit-55-clinic,diet,noun,soorata,soorata madaalamaa | bilaanbiloo,/ˈsoːrɐtɐ/,no,medium,"diet, food, nourishment",,,
unit-55-clinic,care,noun,miideessa,eeggannaa | mararfacha | miideessuu | wal'aansa,/ˈmiːdeːsːɐ/,no,medium,care,,,
unit-55-clinic,advice,noun,gorsa,mari'annaa,/ˈɡɔrsɐ/,no,medium,"advice, suggestion",,,
unit-55-clinic,appointment,noun,baallama,beellama | dhaaba | dhaabbii | beellamaa,/ˈbɑːlːɐmɐ/,yes,medium,appointment,,,
unit-55-clinic,dentist,noun,hakiimii ilkaanii,hakimii ilkaanii,,no,high,dentist,,,
unit-55-clinic,examiner,noun,qorataa,malaguu,/ˈkʼɔrɐtɑ́ː/,no,medium,"researcher, examiner, tester",,,
unit-55-clinic,inspector,noun,to'attuu,,/ˈtɔʔɐtːúː/,no,high,inspector (fem),,,
unit-55-clinic,rehabilitation,noun,qaroomsa,,/ˈkʼɐroːmsɐ/,no,high,rehabilitation,,,
unit-55-clinic,prevention,noun,dalamsa,,/ˈdɐlɐmsɐ/,yes,high,"hindrance, prevention",,,
unit-55-clinic,precaution,noun,ofeeguu,,/ɔfeːɡúː/,no,high,"precaution, self defense",,,
unit-55-clinic,readiness,noun,qophaayina,,/ˈkʼɔpʼɑːjɪnɐ/,no,high,readiness,,,
unit-55-clinic,assistance,noun,gargaarasa,gargaarsa | daaqonii,/ˈɡɐrɡɑːrɐsɐ/,no,medium,assistance,,,
unit-55-clinic,guidance,noun,qajeelfama,,/ˈkʼɐd͡ʒeːlfɐmɐ/,no,high,"guidance, directives",,,
unit-55-clinic,shelter,noun,da'oo,dahachoo | dacheessuu | daheesuu | mana bulmaataa,/ˈdɐʔóː/,yes,medium,shelter,,,
