unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-26-work,farmer,noun,qottuu,haraashi | qotataa | qonnaan jiraata | kaannisa horsiistuu,/ˈkʼɔtːúː/,no,medium,farmer,,,
unit-26-work,soldier,noun,loltuu,koromtoo | duultuu,/ˈlɔltúː/,no,medium,"soldier, fighter",,,
unit-26-work,police,noun,poolisii,ceebiraa | rugtorobbee | mana torobbee,/ˈpoːlɪsíː/,yes,high,police,,,
unit-26-work,judge,noun,abboommii,abbaa seeraa,/ɐbːoːmːíː/,yes,high,"order, command, judge",,,
unit-26-work,king,noun,mootii,kuyyisa | moosisuu | mootomuu,/ˈmoːtíː/,no,high,"king, leader king",,,
unit-26-work,queen,noun,mootittii,saakayyoo | haadha manaa mootii,/ˈmoːtɪtːíː/,no,high,queen,,,
unit-26-work,chief,noun,durayyeessa,hogganaa | luboo | abbagaar | abbaa gandaa,/ˈdʊrɐjːeːsːɐ/,yes,medium,"chief, head",,,
unit-26-work,servant,noun,faanshoo,tajaajilaa | hojetaa | waaqoo | ayyaantuu,/ˈfɑːnʃóː/,yes,high,servant,,,
unit-26-work,guard,noun,eeggannaa,tiksaa | eeguu | baadhee | diroo,/eːɡːɐnːɑ́ː/,yes,medium,"guard, care",,,
unit-26-work,fisherman,noun,kiilobaa,,/ˈkiːlɔbɑ́ː/,no,high,fisherman,,,
unit-26-work,blacksmith,noun,tumtuu,tumaa,,no,medium,blacksmith,,,
unit-26-work,carpenter,noun,anaaxii,fugaa | ogeessa mukaa,/ɐnɑːtʼíː/,yes,medium,carpenter,,,
unit-26-work,tailor,noun,hodhituu wayaa,,/ˈhɔᶑɪtuː wɐjɑ́ː/,no,high,tailor,,,
unit-26-work,weaver,noun,hayaaktuu,,/ˈhɐjɑːktúː/,no,high,"weaver, loom",,,
unit-26-work,potter,noun,aaddoo,suphee dhooftuu | fugaa,/ɑːdːóː/,yes,high,potter,,,
unit-26-work,singer,noun,weeddiftuu,weeddisaa | sirbituu,/ˈweːdːɪftúː/,no,medium,singer (fem),,,
unit-26-work,priest,noun,qeesii,luboo | daaqonii | luboomsuu,/ˈkʼeːsíː/,no,medium,priest,,,
unit-26-work,leader,noun,geggeessaa,hogganaa | booyira | dabbeela | dhayinoo,,no,medium,leader,,,
unit-26-work,helper,noun,gargaaraa,abbaa iyyeessaa | haadha hiyyeessa,/ˈɡɐrɡɑːrɑ́ː/,no,high,index finger,,,
unit-26-work,worker,noun,dalagduu,ojjetaa,/ˈdɐlɐɡdúː/,yes,medium,worker (female),,,
unit-26-work,cook,noun,affeeluu,bilcheessisuu | affeelchisuu | bilcheeffachuu | bilcheessuu,/ɐfːeːlúː/,yes,medium,to cook,,,
unit-26-work,baker,noun,tolchituu,,/ˈtɔlt͡ʃɪtúː/,no,high,"baker, maker",,,
