unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-24-town,town,noun,magaalaa,jireenya magalaa | bushooftuu | dirgabaa | ammarreessaa,/mɐɡɑːlɑ́ː/,no,high,"city, town, village",,,
unit-24-town,city,noun,magaalaa,dirbojaa | dirmalkee | jijjigaa | handhuura magaalaa,/mɐɡɑːlɑ́ː/,no,high,"city, town, village",,,
unit-24-town,village,noun,baadiyyaa,geerrii | ganda | magaalaa | bulchaagandaa,/ˈbɑːdɪjːɑ́ː/,yes,medium,countryside,,,
unit-24-town,street,noun,machaarree,macharree | rooree | ibsaa daandii,/ˈmɐt͡ʃɑːrːéː/,no,low,back street market,,,
unit-24-town,church,noun,bataskaana,mana amantii | cirintii | qulqulleessummaa | mana kadhannaa,/ˈbɐtɐskɑːnɐ/,yes,high,church,,,
unit-24-town,mosque,noun,masgiida,mana amantii | mana kadhannaa,,no,high,mosque,,,
unit-24-town,office,noun,waajjira,biiroo | mana poostaa,,no,medium,office,,,
unit-24-town,hotel,noun,hoteela,mana ciree,/ˈhɔteːlɐ/,no,high,hotel,,,
unit-24-town,station,noun,buufata,tooya | mana torobbee,/ˈbuːfɐtɐ/,yes,high,station,,,
unit-24-town,bank,noun,baankii,mana baankii | daarii | dibuu | baankii dhiigaa,/ˈbɑːnkíː/,yes,high,bank (financial institution),,,
unit-24-town,post,noun,duubbee,gabbaa | postikaardii | qochoma | kuusa albuudaa,/ˈduːbːéː/,yes,low,post position,,,
unit-24-town,prison,noun,wankii,mana hidhaa | hiukamuu,,no,medium,"prison, jail",,,
unit-24-town,court,noun,dhaddacha,ilaallii | ilaallachuu | mana shanachaa | xaddacha,/ˈᶑɐdːɐt͡ʃɐ/,yes,high,a large tree where laws are enacted or legislated.,,,
unit-24-town,palace,noun,masaraa,,/ˈmɐsɐrɑ́ː/,no,high,palace,,,
unit-24-town,square,noun,arfakkuu,mijjirii | rog afree walqixaa | addabaabayii | saqalaa,/ɐrfɐkːúː/,yes,high,square,,,
unit-24-town,building,noun,kaabii,gamoo | foroorsaa | fooqii | gaawoo,/ˈkɑːbíː/,no,medium,building,,,
unit-24-town,camp,noun,buufachuu,,/ˈbuːfɐt͡ʃúː/,yes,high,camp,,,
unit-24-town,compound,noun,diigala,abaadaa | mirroo | abaada | baaldanee,/ˈdiːɡɐlɐ/,yes,medium,compound,,,
