unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-44-furniture,mattress,noun,firaashii,afattoo,/ˈfɪrɑːʃíː/,yes,medium,mattress,,,
unit-44-furniture,pillow,noun,boraatii,makaddaa | boraafatamuu | borfachuu,/ˈbɔrɑːtíː/,yes,medium,pillow,,,
unit-44-furniture,drawer,noun,kaanaa,harkoo,/ˈkɑːnɑ́ː/,no,high,drawer,,,
unit-44-furniture,sofa,noun,soofaa,,/ˈsoːfɑ́ː/,no,high,sofa,,,
unit-44-furniture,stool,noun,qurxaa,barcuma | irrateessoo | teessuma | taa' umsa,/ˈkʼʊrtʼɑ́ː/,no,medium,2nd round tilling of the land,,,
unit-44-furniture,carpet,noun,afata,sigaajjaa | afaa | jibbaa | raroo,/ɐfɐtɐ/,yes,medium,grass for spreading out on a floor,,,
unit-44-furniture,rug,noun,afaa,,/ɐfɑ́ː/,yes,high,"carpet, rug",,,
unit-44-furniture,mirror,noun,agarsiiftuu,daaw'itii | ofilaalee,/ɐɡɐrsiːftúː/,yes,medium,mirror,,,
unit-44-furniture,candle,noun,shaamaa,dungoo | ifa duungoo,,no,medium,candle,,,
unit-44-furniture,bucket,noun,baaldii,shenkelloo | ta'ee,/ˈbɑːldíː/,yes,medium,bucket,,,
unit-44-furniture,lock,noun,qulfii,qollofuu | loosaa | mashakaa,,no,high,lock (mechanism to hold shut),,,
unit-44-furniture,ceiling,noun,demdemoo,baaxii,/ˈdɛmdɛmóː/,yes,medium,ceiling,,,
unit-44-furniture,hearth,noun,badii ibidda,,/ˈbɐdiː ɪbɪdːɐ/,yes,high,hearth.,,,
unit-44-furniture,fireplace,noun,geemmoo,,/ˈɡeːmːóː/,no,high,see 'sumsuma',,,
unit-44-furniture,pillar,noun,hiroo,turboo | utubaa | geerrii,/ˈhɪróː/,no,medium,pillar,,,
unit-44-furniture,porch,noun,galbii,,/ˈɡɐlbíː/,no,high,"porch, under the eaves house",,,
unit-44-furniture,courtyard,noun,mooraa,,/ˈmoːrɑ́ː/,no,high,courtyard,,,
unit-44-furniture,wallpaper,noun,bifgarduubee fooddaa,,/ˈbɪfɡɐrduːbeː foːdːɑ́ː/,yes,high,wallpaper,,,
unit-44-furniture,hook,noun,hookkaa,ookkoo | fannoo | hokkoo | waantoo,/ˈhoːkːɑ́ː/,no,medium,"hook, usually wooden",,,
unit-44-furniture,peg,noun,shikaala,xiribbaa,/ˈʃɪkɑːlɐ/,no,medium,peg,,,
unit-44-furniture,mop,noun,foksoo,,/ˈfɔksóː/,yes,high,mop,,,
unit-44-furniture,bin,noun,togogoo,baattoo gatoo,/ˈtɔɡɔɡóː/,no,high,"storage, bin",,,
unit-44-furniture,tray,noun,karaboo,tirii | baataa,/ˈkɐrɐbóː/,no,medium,tray,,,
unit-44-furniture,container,noun,qabaataa,qaboo | abuubbii | adoolaa | doola,/ˈkʼɐbɑːtɑ́ː/,no,medium,rich person,,,
unit-44-furniture,cottage,noun,godoo,mana citaa,/ˈɡɔdóː/,no,high,"cottage, hut",,,
