unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-62-weather-more,drizzle,noun,tiifuu,qacacuu | karfaffuu | tittifuu,/ˈtiːfúː/,no,medium,"drizzle, shower",,,
unit-62-weather-more,whirlwind,noun,hobonboleessa,ububbee,/ˈhɔbɔnbɔleːsːɐ/,no,medium,"whirlwind, storm",,,
unit-62-weather-more,tornado,noun,obbombolessa,obomboleessa,/ɔbːɔmbɔlɛsːɐ/,no,medium,"tornado, cyclone",,,
unit-62-weather-more,cloudy,noun,booruu,booreffamuu | dukukuu | boora'uu,/ˈboːrúː/,yes,high,impure/ cloudy/ turbid,,,
unit-62-weather-more,windy,noun,bubbisaa,mirgisuu,/ˈbʊbːɪsɑ́ː/,yes,high,"windy, blowing",,,
unit-62-weather-more,rainy,noun,rooba,darabii | wasoraa | mirgisuu | roobaan jireetti,/ˈroːbɐ/,no,high,"rain, rainy",,,
unit-62-weather-more,climate,noun,akkuleensa,,/ɐkːʊleːnsɐ/,yes,high,climate,,,
unit-62-weather-more,forecast,noun,raagama,,/ˈrɑːɡɐmɐ/,no,high,forecast,,,
unit-62-weather-more,moisture,noun,jiidha,jiifamuu | xuuxxachuu,/ˈd͡ʒiːᶑɐ/,no,high,moisture,,,
unit-62-weather-more,evaporation,noun,hurkaa,,/ˈhʊrkɑ́ː/,no,high,"vapor, evaporation",,,
unit-62-weather-more,chill,noun,dhaamocha,qorra | waaqlaalee,/ˈᶑɑːmɔt͡ʃɐ/,yes,medium,cause to cool (male),,,
unit-62-weather-more,warming,noun,o'isa,immisa | qaammannaa,/ɔʔɪsɐ/,no,high,"warming, heating",,,
unit-62-weather-more,cooling,noun,qabbanessa,,/ˈkʼɐbːɐnɛsːɐ/,no,high,cooling,,,
unit-62-weather-more,earthquake,noun,kirkira lafaa,,,no,high,earthquake,,,
unit-62-weather-more,erosion,noun,galoo,lolaa | dhiqam biyyee,/ˈɡɐlóː/,no,medium,"erosion, flood",,,
unit-62-weather-more,tropics,noun,gammoojjii,,/ˈɡɐmːoːd͡ʒːíː/,no,high,"lowland, tropics, desert",,,
unit-62-weather-more,dried,noun,gu'eessa,qoonxaa | qonxaa | goggogaa | hanfalii,/ˈɡʊʔeːsːɐ/,no,medium,"a cow with dried milk, dried",,,
