unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-38-abstract,anger,noun,aarii,oriisaa | dallansuu | caraana | caraansiisuu,/ɑːríː/,yes,medium,anger,,,
unit-38-abstract,joy,noun,gammachuu,fuula ifuu | ililii | ishoo!,,no,high,joy,,,
unit-38-abstract,peace,noun,fayyaa,nagaya | qabbana | nagaa | araara,/ˈfɐjːɑ́ː/,yes,medium,health,,,
unit-38-abstract,war,noun,waraana,duulli | geesaa | goshuu | hiyyaalola,,no,high,war,,,
unit-38-abstract,truth,noun,dhugaa,aaga | mirkana | amantee | amantii,/ˈᶑʊɡɑ́ː/,yes,medium,truth,,,
unit-38-abstract,shame,noun,qaanii,saalfi | yeelloo | gachawuu | salphisuu,/ˈkʼɑːníː/,no,medium,"shame, embrrassment",,,
unit-38-abstract,pride,noun,boona,koora | caaqa | galdaasa | boonsuu,/ˈboːnɐ/,yes,medium,pride,,,
unit-38-abstract,patience,noun,obsa,bal'ifachuu,,no,high,patience,,,
unit-38-abstract,courage,noun,onnumma,gootummaa | faacha | faancha | gootomuu,/ɔnːʊmːɐ/,no,medium,courage,,,
unit-38-abstract,kindness,noun,hammaachuu,,/ˈhɐmːɑːt͡ʃúː/,no,low,"be mean, i.e., lack kindness and good will",,,
unit-38-abstract,respect,noun,kabaja,kabajuu | kabaja kennuu | ofulfeessuu | safeeffachiisuu,/ˈkɐbɐd͡ʒɐ/,no,medium,"respect, honor",,,
unit-38-abstract,trouble,noun,dhibdee,fitnaa | damacaa | falafiduu | giitii,/ˈᶑɪbdéː/,yes,medium,"trouble, disturbance, difficulty misery, problem",,,
unit-38-abstract,problem,noun,danboo,gaafura | rakkoo | darara | dhibdee,/ˈdɐnbóː/,yes,medium,problem,,,
unit-38-abstract,luck,noun,carraa,faroo | milkii | falfala | aaga,/ˈt͡ʃʼɐrːɑ́ː/,yes,medium,"fortune, luck",,,
unit-38-abstract,fortune,noun,keerii,carraa | faroo | tafaa'ula | saaphaloo,/ˈkeːríː/,no,medium,fortune,,,
unit-38-abstract,wisdom,noun,adaadee,daadee | qarooma | qaroomuu,/ɐdɑːdéː/,yes,low,wisdom teeth,,,
unit-38-abstract,power,noun,aaboo,baallii | anniisaa | humna | humnaa,/ɑːbóː/,yes,medium,"power, authority",,,
unit-38-abstract,freedom,noun,bilisummaa,walabummaa | birmadummaa amantii,/ˈbɪlɪsʊmːɑ́ː/,yes,medium,"freedom, liberty",,,
unit-38-abstract,justice,noun,haqa,qajeelummaa,/ˈhɐkʼɐ/,no,medium,true,,,
unit-38-abstract,law,noun,seera,danbii | abbayyee | abbiyyii | abbiyyuu,/ˈseːrɐ/,no,medium,law,,,
unit-38-abstract,duty,noun,aajaa,haajaa | hujii | qadhaaba | lafa oolchuu,/ɑːd͡ʒɑ́ː/,yes,medium,"affair, duty, task, issue",,,
