unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-19-livestock,bull,noun,dibicha,jiblaa | mirgoo | juujuu | abbaa kormaa,/ˈdɪbɪt͡ʃɐ/,yes,medium,bull,,,
unit-19-livestock,lamb,noun,sookkee,xabbootii | xobbaallaa | waga'uu,/ˈsoːkːéː/,no,medium,lamb,,,
unit-19-livestock,mule,noun,yaabbachiisuu,korkodaa | saggaarsisuu | ganyaa | leenjisuu,/ˈjɑːbːɐt͡ʃiːsúː/,no,high,make somebody or something get on a vehicle or horse/ mule,,,
unit-19-livestock,rooster,noun,kormaa,,,no,high,rooster,,,
unit-19-livestock,chick,noun,cuucii,,/ˈt͡ʃʼuːt͡ʃʼíː/,yes,high,"chick, i.e., young chicken.",,,
unit-19-livestock,pig,noun,booyyee,karkarroo | kalaadaa | booyyee gaaraa,/ˈboːjːéː/,yes,medium,"hog, pig, swine",,,
unit-19-livestock,rabbit,noun,hilleensa,illeensa | illeettii | kodhollee,/ˈhɪlːeːnsɐ/,no,medium,"rabbit, hare",,,
unit-19-livestock,herd,noun,tikee,oofsisuu | burrisa | obaa | dachaafamuu,/ˈtɪkéː/,no,high,herd,,,
unit-19-livestock,cattle,noun,loowwan,loon | horii | burrisa | buubaa,/ˈloːwːɐn/,no,medium,cattle,,,
unit-19-livestock,horn,noun,gaafa,foollee | moolaa | koblaa,/ˈɡɑːfɐ/,no,high,horn,,,
unit-19-livestock,hoof,noun,diqdiqii,kottee | many ee,/ˈdɪkʼdɪkʼíː/,yes,low,voice of horses hoof,,,
unit-19-livestock,shepherd,noun,tiksee,tiksuu,/ˈtɪkséː/,no,medium,"herdsman, shepherd,",,,
unit-19-livestock,barn,noun,dallaa loonii,loosaa,/ˈdɐlːɑː loːníː/,yes,high,barn,,,
unit-19-livestock,pasture,noun,kaloo,tikfachuu | tiksuu | kalachuu | kaloo reeroo,,no,medium,"grazing area, pasture, grass",,,
unit-19-livestock,manure,noun,dikee,faltii | caancoo | dikee obeensaa,/ˈdɪkéː/,yes,medium,fertilizer/manure,,,
unit-19-livestock,fodder,noun,soora fardaa,soorata beelladaa,/ˈsoːrɐ fɐrdɑ́ː/,no,medium,fodder (for horse),,,
unit-19-livestock,graze,noun,dheeduu,qorqachuu | qorquu | gadhiisaa | qorqisiisuu,/ˈᶑeːdúː/,yes,high,to graze,,,
unit-19-livestock,kid,noun,mucayyoo,gowwoomsuu | daradii | karsoo,/ˈmʊt͡ʃʼɐjːóː/,no,high,"the child, kid (fem)",,,
unit-19-livestock,ewe,noun,goromtii,haadha hoolaa | hoolaa dhaltuu,/ˈɡɔrɔmtíː/,no,high,ewe,,,
unit-19-livestock,ram,noun,korbeessa,hoolaa korbeessa | tumaalessa | dallaa dawoo | udumuu,/ˈkɔrbeːsːɐ/,no,medium,"ram, billy goat",,,
unit-19-livestock,stallion,noun,sangaa fardaa,,/ˈsɐnɡɑː fɐrdɑ́ː/,no,high,stallion,,,
unit-19-livestock,mare,noun,qalaamaa,qaayya'uu,/ˈkʼɐlɑːmɑ́ː/,no,high,mare,,,
unit-19-livestock,flock,noun,hoomaa jaldeessaa,hoomaa waraanaa,/ˈhoːmɑː d͡ʒɐldeːsːɑ́ː/,no,low,flock of baboon,,,
unit-19-livestock,cage,noun,godoo simbirroo,moggifachuu,/ˈɡɔdoː sɪmbɪrːóː/,no,high,"nest, cage",,,
unit-19-livestock,saddle,noun,kooraa',kooraa | fe'achuu | fe'uu | fe'umsa,/ˈkoːrɑːʔ/,no,medium,saddle (n),,,
