unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-31-verbs-hands,take,verb,fuuchuu,fuudhuu | baafachiisuu | bu'achuu | fudhachiisuu,/ˈfuːt͡ʃúː/,yes,medium,take,,,
unit-31-verbs-hands,give,verb,kennuu,arjoomuu | da'uu | badhaasisuu | dahuu,,no,medium,to give,,,
unit-31-verbs-hands,hold,verb,danda'uu,cichuu | olqabuu | aalachuu | qabachuu,/ˈdɐndɐʔúː/,yes,high,be able to do something can.,,,
unit-31-verbs-hands,put,verb,keeyyachuu,kaa'uu | ol kaa'uu | aaneffachuu | aanfachuu,/ˈkeːjːɐt͡ʃúː/,no,medium,"put, save",,,
unit-31-verbs-hands,open,verb,banuu,saaquu | waltajjii | saaqsisuu | tatarsaasuu,/ˈbɐ́nuː/,yes,medium,to open,,,
unit-31-verbs-hands,close,verb,cufuu,cufachuu | duuchachuu | aanfachuu | cufsisuu,/ˈt͡ʃʼʊfúː/,yes,medium,"to close, shut",,,
unit-31-verbs-hands,tie,verb,guduumfachuu,hidhachuu | hidhuu | itti hidhuu | agaaduu,/ˈɡʊduːmfɐt͡ʃúː/,no,medium,"to tie, laster",,,
unit-31-verbs-hands,cut,verb,cirachuu,ciruu | seerrachuu | muruu | baqaqsuu,/ˈt͡ʃʼɪrɐt͡ʃúː/,yes,medium,to cut,,,
unit-31-verbs-hands,break,verb,leenjisiisuu,qurxuu | boqachuu | caaccabsuu | caccabsuu,/ˈleːnd͡ʒɪsiːsúː/,no,medium,"cause to rain, to break",,,
unit-31-verbs-hands,build,verb,jaaruu,ijaaruu | kaabuu | araaressuu | calaansa,/ˈd͡ʒɑːrúː/,no,medium,become old,,,
unit-31-verbs-hands,make,verb,aramsisuu,dhangaggeessuu | dhoqqeessuu | fashaleessuu | fuunfachiisuu,/ɐrɐmsɪsúː/,yes,medium,make/cause to weed,,,
unit-31-verbs-hands,dig,verb,qofforuu,soquu | akaaffii | akaafachuu | akaafuu,/ˈkʼɔfːɔrúː/,no,medium,dig,,,
unit-31-verbs-hands,sow,verb,facaasisuu,facaasuu | facaafachuu | facaafataa,/ˈfɐt͡ʃʼɑːsɪsúː/,yes,low,to make somebody sow,,,
unit-31-verbs-hands,harvest,verb,kassabuu,haammachuu | haamuu | makara | makarachuu,,no,medium,to harvest,,,
unit-31-verbs-hands,grind,verb,gogordamuu,bulleeffamuu | daakkachuu | daaksisuu | bulleesisuu,/ˈɡɔɡɔrdɐmúː/,no,high,"to chew, grind",,,
unit-31-verbs-hands,pound,verb,dallaquu,fiddigsiisuu | fiddiguu | tumachuu | cafaquu,/ˈdɐlːɐkʼúː/,yes,low,pound or beat to a powder,,,
unit-31-verbs-hands,sew,verb,hodhuu,hodhisiifachuu | hodhachuu | hodhisiifata,,no,high,to sew,,,
unit-31-verbs-hands,weave,verb,dhahuu,dhawuu | dhoofsisuu | dhayuu | dha'achuu,/ˈᶑɐhúː/,yes,medium,"beat, kick",,,
unit-31-verbs-hands,wash,verb,cafaccafuu,dhiqam biyyee | dhiquu | lamboobuu | miiccachuu,/ˈt͡ʃʼɐfɐt͡ʃʼːɐfúː/,yes,high,to wash,,,
unit-31-verbs-hands,sweep,verb,haxaawuu,ungulaallii | qulqulleessuu | harsifachuu | harsisuu,/ˈhɐtʼɑːwúː/,no,medium,"sweep, clean",,,
unit-31-verbs-hands,bake,verb,tolchuu,tolfachuu | bixxilachiisuu | maxinachuu | maxinsifachuu,/ˈtɔlt͡ʃúː/,no,medium,"to make, prepare",,,
unit-31-verbs-hands,boil,verb,affeellachuu,danfuu | bilcheeffachuu | bilcheessuu | daffifamuu,/ɐfːeːlːɐt͡ʃúː/,yes,medium,to boil (for one self),,,
unit-31-verbs-hands,fill,verb,guutuu,duuchifamuu | duuchisiisuu | guuchisiifachuu | guuchisiisuu,,no,high,to fill,,,
unit-31-verbs-hands,pour,verb,dhangala'uu,qicachuu | qicuu | buufachuu | naqachuu,/ˈᶑɐnɡɐlɐʔúː/,yes,medium,to pour,,,
unit-31-verbs-hands,throw,verb,darbachuu,a'uu | darbachiisuu | furrisuu | daddarbuu,/ˈdɐrbɐt͡ʃúː/,yes,medium,to throw,,,
