unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-15-nature,land,noun,dachee,lafa | bajjii | beedholamaa | bonayyoo,/ˈdɐt͡ʃéː/,yes,medium,"earth, land, ground",,,
unit-15-nature,mountain,noun,tulluu,kaakkaa | roggee | hongoolo | kaaba hallu,/tʊlːuː/,no,high,mountain,,,
unit-15-nature,hill,noun,daabbaa,gaara | garoo | tabba | koobii,/ˈdɑːbːɑ́ː/,yes,medium,hill,,,
unit-15-nature,valley,noun,golba,sulula | gololee | suluula | daadduu,/ˈɡɔlbɐ/,no,medium,valley,,,
unit-15-nature,river,noun,laga,burrisa | daarii | galaana | jogii,,no,high,river,,,
unit-15-nature,stream,noun,dolool'oo,madduu | xururuu,/ˈdɔloːlʔóː/,yes,low,brook/smll stream,,,
unit-15-nature,lake,noun,hara,haroo | garba | garba lixxaa | haroo Walaabuu,/hɐrɐ/,no,medium,lake,,,
unit-15-nature,sea,noun,garba,aboyyii | afooga | galaana | olguura,,no,high,"ocean, sea, lake",,,
unit-15-nature,well,noun,gaarumsa,seega | beedholamaa | birii | callaa,/ˈɡɑːrʊmsɐ/,no,medium,"being good, well",,,
unit-15-nature,stone,noun,dhagaa,dhakaa | baraasa | bardhagitee | biilaluu,/ˈᶑɐɡɑ́ː/,yes,medium,stone,,,
unit-15-nature,rock,noun,dhakaacha,saaphaphuu | kattaa baalcii | kattaa burkaanaa | soogidda amoolee,/ˈᶑɐkɑːt͡ʃɐ/,yes,high,tortoiseshell,,,
unit-15-nature,sand,noun,cir'achaa,cirracha | maansaa | mansaa | lomoxuu,/ˈt͡ʃʼɪrʔɐt͡ʃɑ́ː/,yes,medium,sand,,,
unit-15-nature,soil,noun,biyyoo,boolee | callabiyyoo | eegumsabiyyee | boojjii,/ˈbɪjːóː/,yes,high,soil,,,
unit-15-nature,forest,noun,raasaa,bosona | buttoo | riibaa | haxxee,/ˈrɑːsɑ́ː/,no,medium,open place,,,
unit-15-nature,field,noun,dirree,abaxallaloo | aloola | babbaqa | ashuffee,/ˈdɪrːéː/,yes,medium,field,,,
unit-15-nature,farm,noun,qotiisa,ooyru | qonna | qotuu | beedholamaa,/ˈkʼɔtiːsɐ/,no,medium,farm,,,
unit-15-nature,road,noun,karaa,moocii | maqa | looshaa | hadiida baaburaa,,no,medium,road,,,
unit-15-nature,path,noun,xurree,moocii | hoticha | daandii | fulee,/ˈtʼʊrːéː/,no,medium,sound of passing air,,,
unit-15-nature,bridge,noun,dilbuu,riqicha | ceesiftuu | ceesisuu,/ˈdɪlbúː/,yes,medium,bridge,,,
unit-15-nature,cave,noun,boongoo,olqa | holqa | qaalaa | bowwaa,/ˈboːnɡóː/,yes,medium,cave,,,
unit-15-nature,island,noun,baqqanaa,baqqaana | cittuu | oddoola | odoola,/ˈbɐkʼːɐnɑ́ː/,yes,medium,island,,,
unit-15-nature,shore,noun,deegga'uu,,/ˈdeːɡːɐʔúː/,yes,low,prop something up usually stone mill shore up or support,,,
unit-15-nature,desert,noun,adaala,balballaa | langaanoo | alloo | corree,/ɐdɑːlɐ/,yes,medium,desert,,,
unit-15-nature,grass,noun,marga,kaloo | aduffaa | afalaamaa | afannee,,no,medium,grass,,,
unit-15-nature,hole,noun,boroqaa,qiliilee | qawoo | qaawwa | boolla'uu,/ˈbɔrɔkʼɑ́ː/,yes,high,hole,,,
