unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-34-adjectives,young,adj,bombaatuu,jibicha | qacalee | buchillaa | bukurattii,/ˈbɔmbɑːtúː/,yes,medium,young (of cattle),,,
unit-34-adjectives,large,adj,asaabala,daabboo | iiba'uu | gundoo | kootama,/ɐsɑːbɐlɐ/,yes,medium,"a large, black, red beaked bird",,,
unit-34-adjectives,strong,adj,jabaa,onnoomuu | gichillaa' | jabaachuu | jajjabaa,,no,high,strong,,,
unit-34-adjectives,weak,adj,yaroomuu,darree | culculjechuu | dadhabsiisuu | kachachaluu,/ˈjɐroːmúː/,no,high,"to be bad, weak",,,
unit-34-adjectives,full,adj,goobana,guulaa | ciffata | bacaqsuu | cinaa'uu,/ˈɡoːbɐnɐ/,no,high,full,,,
unit-34-adjectives,empty,adj,duwwaa,qolqolee | ona | adiyyoo | deeqqa'uu,,no,medium,empty,,,
unit-34-adjectives,warm,adj,seerrachuu,bulluqa | bulluqsiisuu | hoo'uu | o'isuu,/ˈseːrːɐt͡ʃúː/,no,high,warm,,,
unit-34-adjectives,sweet,adj,mi'aa,mi'aawaa | mi'ooftuu | adanii | baqarii,/ˈmɪʔɑ́ː/,no,medium,sweet (taste),,,
unit-34-adjectives,bitter,adj,arancii,hadheessuu | eebicha | faaluu | harma guusaa,/ɐrɐnt͡ʃʼíː/,yes,low,bitter cabbage,,,
unit-34-adjectives,sour,adj,komxaaxxee,qammana | dhangaggoo | canuu | qammansiisuu,/ˈkɔmtʼɑːtʼːéː/,no,medium,sour,,,
unit-34-adjectives,soft,adj,hoffeessuu,laafuu | dabbasaa,/ˈhɔfːeːsːúː/,no,low,to make soft &light,,,
unit-34-adjectives,hard,adj,jabeessuu,bilbillee | dallaqa | ciqilchuu | eelchuu,/ˈd͡ʒɐbeːsːúː/,no,high,"make strong, rigorous, hard",,,
unit-34-adjectives,fast,adj,laamuu,qomoruu | soomanuu | soomuu | xoomuu,/ˈlɑːmúː/,no,medium,to fast,,,
unit-34-adjectives,slow,adj,suutee,sissiqaa | lafarra butuu,/ˈsuːtéː/,no,high,slow,,,
unit-34-adjectives,beautiful,adj,xurunbullee,dhangaatuu | koonnoo | dumbushee | bareechisuu,,no,medium,beautiful,,,
unit-34-adjectives,ugly,adj,ulufa,fokkachuu | godoomuu | xelxeba | bifa baduu,/ʊlʊfɐ/,no,low,miss happen navel and protruding i.e. ugly,,,
unit-34-adjectives,rich,adj,tujaara,qaljii | soorettii | duroomsuu | saca'uu,/ˈtʊd͡ʒɑːrɐ/,no,medium,rich,,,
unit-34-adjectives,poor,adj,dhabduu,qoloqoiee | harka marachiisuu | harka marachuu | daaruu,/ˈᶑɐbdúː/,yes,medium,"poor, destitute (fem.)",,,
unit-34-adjectives,easy,adj,salpha,,,no,high,easy,,,
unit-34-adjectives,difficult,adj,laqanyoo,guulaa | darbuu | waalluu,/ˈlɐkʼɐɲóː/,no,high,"problem, difficult",,,
