unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-84-verbs-thinking,doubt,verb,bir'achiisuu,shakkii,/ˈbɪrʔɐt͡ʃiːsúː/,yes,medium,cause to hesitate/ doubt,,,
unit-84-verbs-thinking,wish,verb,dharra'uu,fedhuu | dambooba | abbala | abbaltii,/ˈᶑɐrːɐʔúː/,yes,medium,wish,,,
unit-84-verbs-thinking,plan,verb,karooruu,abbalachuu | abbaluu | malachuu | karoora,/ˈkɐroːrúː/,no,medium,to plan,,,
unit-84-verbs-thinking,guess,verb,heduu,ciicuu | tilmaama | mala dhawa,,no,medium,to guess,,,
unit-84-verbs-thinking,wonder,verb,hajaa'iba,maalala | naadira | ajaa'ibamuu | hajaa'ibsiisuu,/ˈhɐd͡ʒɑːʔɪbɐ/,no,medium,wonder,,,
unit-84-verbs-thinking,admire,verb,dinqisiifachuu,jajuu | maalalfachuu | anyarsiisuu | anyarsuu,/ˈdɪnkʼɪsiːfɐt͡ʃúː/,yes,high,admire,,,
unit-84-verbs-thinking,reckon,verb,herreegsisuu,herreeguu | awwaccuu,/ˈhɛrːeːɡsɪsúː/,no,medium,cause to calculate/ reckon,,,
unit-84-verbs-thinking,presume,verb,seehuu,se'uu | tilmaamuu,/ˈseːhúː/,no,medium,presume,,,
unit-84-verbs-thinking,suspect,verb,shakkuu,ciicuu,,no,medium,to suspect,,,
unit-84-verbs-thinking,intend,verb,abbaluu,abbala,/ɐbːɐlúː/,yes,high,to intend,,,
unit-84-verbs-thinking,resolve,verb,furmaata kennuu,murteeffamuu,/ˈfʊrmɑːtɐ kɛnːúː/,yes,high,resolve,,,
unit-84-verbs-thinking,imply,verb,irreeruu,,/ɪrːeːrúː/,no,high,to imply,,,
unit-84-verbs-thinking,assess,verb,tilmaamuu,,/ˈtɪlmɑːmúː/,no,high,"assess, presume",,,
unit-84-verbs-thinking,focus,verb,xiyyeeffachuu,fardatu | garee xiyyeeffannoo,/ˈtʼɪjːeːfːɐt͡ʃúː/,no,high,"focus, emphasize",,,
unit-84-verbs-thinking,pretend,verb,fakkeessuu,kobobbee | kobobbisuu,/ˈfɐkːeːsːúː/,yes,high,to pretend,,,
unit-84-verbs-thinking,deny,verb,aaluu,didachuu | haaluu | waakkachuu | waakkachiisuu,/ɑːlúː/,yes,medium,deny,,,
unit-84-verbs-thinking,approve,verb,raggaasuu,,/ˈrɐɡːɑːsúː/,no,high,"to approve, confirmation",,,
unit-84-verbs-thinking,oppose,verb,ajiifachuu,morkachuu | morkuu | mommachuu | mormuu,/ɐd͡ʒiːfɐt͡ʃúː/,yes,high,to criticize,,,
unit-84-verbs-thinking,dislike,verb,jibbuu,jibbina,,no,high,to dislike,,,
