unit,english,pos,proposed_oromo,alternates,ipa,has_audio,confidence,gloss_seen,reviewed,verdict_ok_or_fix,notes
unit-40-verbs-senses,look,verb,laaluu,barbaachisuu | barbaaddachuu | doowwachuu | gaarreffachuu,/ˈlɑːlúː/,no,high,"look, see, observe",,,
unit-40-verbs-senses,watch,verb,sa'aa,haada sa'aa | sa'aatii harkaa,/ˈsɐʔɑ́ː/,no,high,"watch, timne",,,
unit-40-verbs-senses,notice,verb,qalbeeffachiisa,hubachiisa | beekkachiisa | jamboo-beeksisaa | beeksisa alaa,/ˈkʼɐlbeːfːɐt͡ʃiːsɐ/,no,medium,notice,,,
unit-40-verbs-senses,observe,verb,do'achuu,hubachiisuu | laaluu | xiinxaluu | doowwannaa,/ˈdɔʔɐt͡ʃúː/,yes,medium,observe,,,
unit-40-verbs-senses,ache,verb,waraansa,halteeta | quuqxoo | ciniina | garaa ciniinuu,/ˈwɐrɑːnsɐ/,no,high,"ache, sudden physical pain",,,
unit-40-verbs-senses,hurt,verb,dhukkubsuu,gaaga'uu | dirmuu | gaaga'amuu | hubamuu,/ˈᶑʊkːʊbsúː/,yes,medium,hurt,,,
unit-40-verbs-senses,inspect,verb,sakatta'uu,qorachuu | sakattaasisuu,,no,medium,to inspect,,,
unit-40-verbs-senses,glimpse,verb,liphii,,/ˈlɪpʼíː/,no,high,"glimpse, short glance",,,
unit-40-verbs-senses,sniff,verb,surachuu,,/ˈsʊrɐt͡ʃúː/,no,high,to sniff,,,
unit-40-verbs-senses,lick,verb,arraabuu,araabbachuu | arraabsisuu | gondolchuu | hokkoo,/ɐrːɑːbúː/,yes,high,to lick,,,
unit-40-verbs-senses,vibrate,verb,ollachuu,dha'achuu,/ɔlːɐt͡ʃúː/,no,high,"to vibrate, shiver",,,
unit-40-verbs-senses,shine,verb,cululuquu,cululugsuu | liistiroo,/ˈt͡ʃʼʊlʊlʊkʼúː/,yes,high,shine/ show bright face,,,
unit-40-verbs-senses,glitter,verb,calalaquu,calalagsiisuu,/ˈt͡ʃʼɐlɐlɐkʼúː/,yes,high,"glisten, glitter, or shimmer",,,
unit-40-verbs-senses,echo,verb,horrisa,owwaataa,/ˈhɔrːɪsɐ/,no,medium,echo,,,
